이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20180601,,8000,56,식사,중식,
20180602,,55000,,쇼핑,패션,스위스
20180602,,1300,,기타,,
20180602,,13000,,생활,헤어,
20180602,,3000,,생활,마트,웰빙마트
20180603,,13300,,쇼핑,온라인,쿠팡
20180604,,28800,,식사,구이,
20180604,,7000,,식사,한식,
20180605,,6000,,식사,한식,
20180605,,2300,,생활,편의점,세븐일레븐
20180606,,6000,,생활,마트,홈플러스
20180606,,30000,,쇼핑,온라인,인터파크
20180606,,10000,,식사,떡볶이,
20180606,,13000,,식사,닭강정,
20180607,,29000,,식사,한식,
20180607,,5000,,식사,한식,
20180607,,1000,,식사,한식,
20180608,,2300,,생활,마트,이마트
20180608,,6300,,식사,디저트,
20180608,,9000,63,식사,중식,
20180609,,5000,,식사,카페,커피앤티
20180611,,5000,,식사,구이,
20180612,,8200,,식사,카페,스타벅스
20180612,,6000,,식사,구이,
20180614,,4100,,생활,편의점,세븐일레븐
20180614,,2000,,문화,게임,
20180614,,7000,,식사,한식,
20180614,,28600,,식사,한식,
20180615,,7000,,식사,한식,
20180615,20180620,23400,,교통,지하철 24,
20180615,,-2000,,기타,할인,
20180615,20180620,46000,,교통,버스 23,
20180615,,1800,,생활,편의점,세븐일레븐
20180615,,1850,1,생활,마트,우리할인마트
20180616,,13000,,식사,닭강정,
20180616,,32000,320,식사,한식,
20180616,,6100,,생활,편의점,GS25
20180617,,19000,,식사,카페,우리동네행복한커피집
20180617,,-19000,,식사,카페,우리동네행복한커피집
20180617,,28000,,식사,카페,우리동네행복한커피집
20180618,,50000,,식사,한식,
20180618,,2000,,생활,편의점,세븐일레븐
20180618,,4900,,생활,마트,롯데마트
20180619,,6000,,식사,한식,
20180620,,5000,,식사,한식,
20180621,,1800,,생활,편의점,세븐일레븐
20180621,,7000,,식사,구이,
20180622,,6500,65,식사,순대,
20180622,,3500,,식사,카페,커피베이
20180623,,10000,8,문화,도서,교보문고
20180623,,74800,,생활,마트,롯데마트
20180624,,3960,,생활,마트,웰빙마트
20180624,,99000,,생활,마트,AK
20180624,,9900,,생활,마트,AK
20180624,,9900,,생활,마트,AK
20180625,,1300,,생활,편의점,세븐일레븐
20180625,,6000,,식사,구이,
20180626,,2000,,생활,편의점,세븐일레븐
20180626,,9000,,식사,한식,
20180627,,13000,,식사,닭강정,
20180627,,7000,,식사,한식,
20180628,,8400,,생활,편의점,세븐일레븐
20180628,,5000,,식사,한식,
20180628,,20000,,식사,치킨,CF숯불바베큐
20180628,,2300,,생활,마트,건영마트
20180628,,2300,,생활,마트,이마트
20180629,,6900,,생활,마트,롯데마트
20180629,,1300,,생활,편의점,GS25
20180629,20180704,20450,,교통,지하철 21,
20180629,,5000,,식사,카페,카페디엠
20180629,,2200,,생활,마트,이마트
20180630,20180704,54500,,교통,버스 29,
20180630,,4500,,식사,카페,커피앤티
